f060a65f-a41d-4b10-bc03-9cb32e62de33_Basecall_Barcoding_2d	8383
85d5c1f1-fbc7-4dbf-bf17-215992eb7a08_Basecall_Barcoding_2d	11909
6e6ad7e5-3f70-43c7-afe9-0095c7b42a27_Basecall_Barcoding_2d	5936
4c92b2ae-a8a1-45ef-8be1-342a21fc43ec_Basecall_Barcoding_2d	9303
5e3d6758-eaf4-452c-b8d8-ac6b1dfd043f_Basecall_Barcoding_2d	8246
d45d651e-2c56-456c-a2e2-6dbf957bddb4_Basecall_Barcoding_2d	4951
f9dc6365-74ab-48f0-b29a-18df224ab9ef_Basecall_Barcoding_2d	9254
90b98b32-3490-43fc-8724-f106fc229a35_Basecall_Barcoding_2d	7986
a03b9487-13c4-44bb-be90-df7502c24bbd_Basecall_Barcoding_2d	9380
46fe5434-e551-4700-979c-7b16bc303c32_Basecall_Barcoding_2d	11188
da181aab-4b70-4910-851c-1af04dc12621_Basecall_Barcoding_2d	1836
cfe107bd-7d10-466c-98aa-470c86c32ce3_Basecall_Barcoding_2d	6500
e09ee57a-e1c6-4a38-be35-3e45071bdddf_Basecall_Barcoding_2d	10710
11eea0de-c790-44a4-8d27-ae65c4dcf20c_Basecall_Barcoding_2d	7928
5baad14c-8e31-4951-8e92-f93ca044b293_Basecall_Barcoding_2d	9119
6e0ae5f0-f795-4a9d-a5c3-2b7b1e1e16eb_Basecall_Barcoding_2d	5639
d2483b6a-d3d9-4567-9020-3e7dc3b7eee0_Basecall_Barcoding_2d	7169
7d17e840-85ed-469a-b2ea-1eb9bbabcb01_Basecall_Barcoding_2d	11449
84cdee89-865d-4e63-8d38-a541e5a45fa3_Basecall_Barcoding_2d	8946
c242e42e-255e-4d22-bc30-56858e373f83_Basecall_Barcoding_2d	6497
9c58f4cf-52db-436d-8f33-c4f634910ed8_Basecall_Barcoding_2d	7649
c1ebdccf-f8d2-4e95-9174-83c8d26f8fdd_Basecall_Barcoding_2d	10104
ef8b02bf-a298-4411-b57d-d6b5fc4e2d33_Basecall_Barcoding_2d	7977
f7c47e0f-f352-444a-a26f-892647ae1b06_Basecall_Barcoding_2d	4726
7c4e0ff8-a116-4f65-891b-49a6d6e82d5a_Basecall_Barcoding_2d	2485
9acdfd53-5a68-4f74-91f5-c5dc235a8ece_Basecall_Barcoding_2d	7812
cca44c00-5548-489d-8324-74099f174171_Basecall_Barcoding_2d	10042
0d2d5cb1-92ab-48dc-a578-4ebdc99f2709_Basecall_Barcoding_2d	8361
d9bb1b77-12f1-40a4-9311-5e1820bb748e_Basecall_Barcoding_2d	4220
3baf167f-cfd4-424b-9f1c-5e45a43b0464_Basecall_Barcoding_2d	4508
37aeee4c-9d75-4282-b005-5ee80c314e68_Basecall_Barcoding_2d	11243
5666d8ac-a79c-4175-b6d5-4defc858ba62_Basecall_Barcoding_2d	5116
c3709a01-8f90-4cab-9743-32c552f370e8_Basecall_Barcoding_2d	8884
0398a383-6b09-4b8f-b03e-53529f9e735b_Basecall_Barcoding_2d	15163
25d15701-5206-4659-bbf3-7683ecda8a2e_Basecall_Barcoding_2d	6878
6b59c4ad-4904-4dad-b32a-27cd5add8dd1_Basecall_Barcoding_2d	14265
416565a4-7578-4fa1-91fe-f7dddbca072b_Basecall_Barcoding_2d	2834
09ce526f-7dc5-401b-b046-d883b5c92326_Basecall_Barcoding_2d	8370
9286306d-5ba5-4a6c-9770-c77a6a1cee1b_Basecall_Barcoding_2d	10073
8a52d768-9484-4722-817f-9f9604ad3fde_Basecall_Barcoding_2d	6530
1c848849-716a-4458-9ea9-9a8945aeedf3_Basecall_Barcoding_2d	9808
14f1b240-c175-47d4-975f-af5eb4b83654_Basecall_Barcoding_2d	8287
91be4e76-1483-43a3-adfb-46aac2c60af3_Basecall_Barcoding_2d	10844
6d254592-4b54-4f9e-a4d5-23fab0ab9bef_Basecall_Barcoding_2d	4736
06c2c8be-e2d2-4dd8-b487-49bac1640426_Basecall_Barcoding_2d	2301
9e780a39-f50b-45a3-86b4-cc5362d002eb_Basecall_Barcoding_2d	9043
6a3376e7-e313-4c06-900a-5737129ecd79_Basecall_Barcoding_2d	5173
e4a1c948-b50d-4efc-851a-829e8d470843_Basecall_Barcoding_2d	8646
d38ed64a-9982-4aa4-96d3-c54316466f6c_Basecall_Barcoding_2d	8518
0763d0fe-f278-4f6c-a73f-9e60afc36e12_Basecall_Barcoding_2d	9157
c815a7e6-45bb-4c11-aaed-0554988a04a5_Basecall_Barcoding_2d	10028
79447d9b-4227-4bf3-87c9-6ab07d101ab7_Basecall_Barcoding_2d	10735
65c8fae5-3797-4483-a3de-f379dbe242b9_Basecall_Barcoding_2d	3739
51a12724-93ff-49e3-ab40-636488c33cda_Basecall_Barcoding_2d	7926
278cdafe-a6d6-44f7-8133-4fac4c7a5070_Basecall_Barcoding_2d	1937
886715e2-af21-44fa-a785-5789251f20a2_Basecall_Barcoding_2d	7947
828c4a41-3e67-41b7-9030-88c6bd9ae767_Basecall_Barcoding_2d	6897
0b7d67cc-1c9e-48dc-bae1-5023bfa4d773_Basecall_Barcoding_2d	13711
9682d541-bed3-4add-82ec-f7038fd2c9fd_Basecall_Barcoding_2d	12503
009d4a80-8ce2-4c63-b432-776ec12f8379_Basecall_Barcoding_2d	2586
75e5c9ed-7c79-4f92-8e77-f039e6912ded_Basecall_Barcoding_2d	13948
ef52a36f-d629-4411-ac64-434a80dbda48_Basecall_Barcoding_2d	12072
b5f171a8-fd26-4e16-bd56-cd7ccbec2cba_Basecall_Barcoding_2d	7333
3502214e-ac4d-4c67-a138-74be214aa940_Basecall_Barcoding_2d	11368
a69f9c00-588a-4d62-a3eb-df7d4e619e5f_Basecall_Barcoding_2d	7084
346ed381-0efb-4edc-8ff9-150a02a9bd4b_Basecall_Barcoding_2d	6719
4ca3498c-148e-441f-ae6e-e94fc21df46a_Basecall_Barcoding_2d	8355
fbe12d4a-8013-48e7-9e10-fbb64e1dcbbf_Basecall_Barcoding_2d	8179
b30557f5-0e8c-4e37-940f-23ce03f99a44_Basecall_Barcoding_2d	7133
65d9d571-c3e7-4742-99ad-41234a4b0915_Basecall_Barcoding_2d	414
76683289-26cb-4b08-9296-a8320ccf8881_Basecall_Barcoding_2d	10012
69657f5e-01e7-4632-b3af-ce121bc2a460_Basecall_Barcoding_2d	8375
6427de32-a134-44c7-bdcf-a95f470c034b_Basecall_Barcoding_2d	9235
