0483803d-f70e-4ec5-8f80-1a8fee600a70_Basecall_Barcoding_2d	7003
d3b6fe43-4a7d-45c5-99ff-3765adf62717_Basecall_Barcoding_2d	6104
34182802-19ba-4562-abd8-a9a2dc29339d_Basecall_Barcoding_2d	2327
058add03-0a6c-479c-b82a-6206211588a3_Basecall_Barcoding_2d	6942
ae9f880a-200f-4909-8a86-f69960321094_Basecall_Barcoding_2d	5475
6bc4791a-06ef-4f9e-b8df-141cd2190c8d_Basecall_Barcoding_2d	8467
1d57bf14-bc9e-4ac2-bef8-9be86eb9c4a9_Basecall_Barcoding_2d	9705
53145fc8-bf58-45b2-aaa8-4454bb8c0aed_Basecall_Barcoding_2d	11464
aacda6b2-6e05-4206-8693-ebd09a230eb2_Basecall_Barcoding_2d	377
8d7b8c25-8992-4f0c-8fb0-8665eb5a2a32_Basecall_Barcoding_2d	14212
10599dcb-aae0-4296-931f-37148fb030bd_Basecall_Barcoding_2d	6816
d856aca2-7b69-4dbf-ab98-d45865cddffc_Basecall_Barcoding_2d	12683
c26a70fe-84d2-4e41-8a0e-bac0a3a6f3ea_Basecall_Barcoding_2d	8095
1764087b-29fc-4e07-b1d6-96582cb5da59_Basecall_Barcoding_2d	6852
10d94fc9-1bed-4cf9-9894-2889fd31a4c2_Basecall_Barcoding_2d	9415
328cab26-9ec0-4050-a617-00d367db0c49_Basecall_Barcoding_2d	7969
6c636449-16c8-482c-bd99-1aa737fdc0e5_Basecall_Barcoding_2d	18184
f050949e-53b3-4370-b0cf-1f4c4a7d8f95_Basecall_Barcoding_2d	4749
0256e469-5203-4a46-89c7-900ab614dc07_Basecall_Barcoding_2d	2169
a143129d-54ab-438c-80fc-e23b581cb80a_Basecall_Barcoding_2d	7721
42c75441-50af-47c2-b1c2-8a9465cd0541_Basecall_Barcoding_2d	1828
0e26706d-5397-4fb4-aad0-1f883b2bdf6e_Basecall_Barcoding_2d	3204
04ab292e-5667-43e9-a3fb-cdee54fb78b0_Basecall_Barcoding_2d	11464
016e0706-8a7e-4ee1-aa5e-60f27b85dc57_Basecall_Barcoding_2d	7485
5a40c286-fdb8-440f-9448-cae3e091c189_Basecall_Barcoding_2d	16865
3e3158aa-9140-4683-a1be-663ede4c82c9_Basecall_Barcoding_2d	3803
1cb02630-29bc-490c-9c47-e9d1544c9429_Basecall_Barcoding_2d	5204
adf0edda-5c62-4f2b-acec-942785c9d455_Basecall_Barcoding_2d	2170
